Date,Missing,Web Traffic
2016-10-11,12,12
2016-10-12,8,8
2016-10-13,50,50
2016-10-14,13,13
2016-10-15,10,10
2016-10-16,16,16
2016-10-17,14,14
2016-10-18,10,10
2016-10-19,24,24
2016-10-20,10,10
2016-10-21,20,20
2016-10-22,10,10
2016-10-23,26,26
2016-10-24,25,25
2016-10-25,16,16
2016-10-26,19,19
2016-10-27,20,20
2016-10-28,12,12
2016-10-29,19,19
2016-10-30,,50
2016-10-31,16,16
2016-11-01,30,30
2016-11-02,18,18
2016-11-03,25,25
2016-11-04,14,14
2016-11-05,20,20
2016-11-06,8,8
2016-11-07,67,67
2016-11-08,13,13
2016-11-09,41,41
2016-11-10,10,10
2016-11-11,21,21
2016-11-12,13,13
2016-11-13,8,8
2016-11-14,15,15
2016-11-15,14,14
2016-11-16,12,12
2016-11-17,6,6
2016-11-18,11,11
2016-11-19,10,10
2016-11-20,42,42
2016-11-21,21,21
2016-11-22,24,24
2016-11-23,14,14
2016-11-24,11,11
2016-11-25,,204
2016-11-26,14,14
2016-11-27,45,45
2016-11-28,33,33
2016-11-29,28,28
2016-11-30,18,18
2016-12-01,14,14
2016-12-02,47,47
2016-12-03,15,15
2016-12-04,14,14
2016-12-05,18,18
2016-12-06,20,20
2016-12-07,14,14
2016-12-08,16,16
2016-12-09,14,14
2016-12-10,20,20
2016-12-11,60,60
2016-12-12,22,22
2016-12-13,15,15
2016-12-14,17,17
2016-12-15,19,19
2016-12-16,,18
2016-12-17,21,21
2016-12-18,21,21
2016-12-19,47,47
2016-12-20,65,65
2016-12-21,17,17
2016-12-22,32,32
2016-12-23,63,63
2016-12-24,15,15
2016-12-25,26,26
2016-12-26,14,14
2016-12-27,20,20
2016-12-28,22,22
2016-12-29,19,19
2016-12-30,18,18
2016-12-31,20,20
